theta,xi,yi,xc,yc,xo,yo,xb,yb,xct,yct,xot,yot,energy
1.4927,0.0000,0.0000,0.0780,0.9970,0.2671,1.0619,1.0000,0.2000,-0.0195,1.2807,0.1344,1.7564,8.6420
1.4937,0.0000,0.0000,0.0770,0.9970,0.2664,1.0613,1.0000,0.2000,-0.0194,1.2811,0.1362,1.7563,8.6368
1.4947,0.0000,0.0000,0.0760,0.9971,0.2656,1.0606,1.0000,0.2000,-0.0193,1.2816,0.1381,1.7561,8.6315
1.4957,0.0000,0.0000,0.0750,0.9972,0.2649,1.0600,1.0000,0.2000,-0.0192,1.2820,0.1400,1.7560,8.6262
1.4967,0.0000,0.0000,0.0740,0.9973,0.2641,1.0593,1.0000,0.2000,-0.0191,1.2824,0.1419,1.7558,8.6209
1.4977,0.0000,0.0000,0.0730,0.9973,0.2633,1.0587,1.0000,0.2000,-0.0190,1.2829,0.1438,1.7556,8.6156
1.4987,0.0000,0.0000,0.0720,0.9974,0.2626,1.0580,1.0000,0.2000,-0.0189,1.2833,0.1457,1.7554,8.6103
1.4997,0.0000,0.0000,0.0710,0.9975,0.2618,1.0574,1.0000,0.2000,-0.0188,1.2837,0.1476,1.7552,8.6049
1.5007,0.0000,0.0000,0.0700,0.9975,0.2610,1.0567,1.0000,0.2000,-0.0187,1.2841,0.1495,1.7550,8.5996
1.5017,0.0000,0.0000,0.0690,0.9976,0.2603,1.0560,1.0000,0.2000,-0.0186,1.2845,0.1514,1.7547,8.5942
1.5027,0.0000,0.0000,0.0680,0.9977,0.2595,1.0554,1.0000,0.2000,-0.0185,1.2849,0.1534,1.7545,8.5888
1.5037,0.0000,0.0000,0.0670,0.9978,0.2587,1.0547,1.0000,0.2000,-0.0184,1.2853,0.1553,1.7542,8.5833
1.5047,0.0000,0.0000,0.0660,0.9978,0.2579,1.0540,1.0000,0.2000,-0.0183,1.2857,0.1572,1.7539,8.5779
1.5057,0.0000,0.0000,0.0650,0.9979,0.2572,1.0533,1.0000,0.2000,-0.0182,1.2861,0.1592,1.7536,8.5724
1.5067,0.0000,0.0000,0.0640,0.9979,0.2564,1.0527,1.0000,0.2000,-0.0181,1.2865,0.1611,1.7533,8.5670
1.5077,0.0000,0.0000,0.0630,0.9980,0.2556,1.0520,1.0000,0.2000,-0.0179,1.2869,0.1630,1.7530,8.5615
1.5087,0.0000,0.0000,0.0620,0.9981,0.2548,1.0513,1.0000,0.2000,-0.0178,1.2873,0.1650,1.7527,8.5559
1.5097,0.0000,0.0000,0.0610,0.9981,0.2540,1.0506,1.0000,0.2000,-0.0177,1.2876,0.1669,1.7523,8.5504
1.5107,0.0000,0.0000,0.0600,0.9982,0.2532,1.0499,1.0000,0.2000,-0.0175,1.2880,0.1689,1.7520,8.5448
1.5117,0.0000,0.0000,0.0590,0.9983,0.2524,1.0492,1.0000,0.2000,-0.0174,1.2884,0.1709,1.7516,8.5393
1.5127,0.0000,0.0000,0.0580,0.9983,0.2516,1.0485,1.0000,0.2000,-0.0172,1.2887,0.1728,1.7512,8.5337
